=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.01 17:31:56 =~=~=~=~=~=~=~=~=~=~=~=
SampleIndex,Voltage(V),Current(A),ActiveChannel
0,1.3008,0.006334,4
1,1.3514,0.005630,4
2,1.4020,0.007038,4
3,1.4525,0.007038,4
4,1.5031,0.007038,4
5,1.5537,0.007038,4
6,1.5971,0.007742,4
7,1.6477,0.007038,4
8,1.6982,0.007038,4
9,1.7416,0.006334,4
10,1.7850,0.006334,4
11,1.8283,0.007742,4
12,1.8717,0.007038,4
13,1.9150,0.006334,4
14,1.9584,0.006334,4
15,1.9945,0.007038,4
16,2.0307,0.007742,4
17,2.0668,0.007038,4
18,2.1029,0.006334,4
19,2.1391,0.006334,4
20,2.1680,0.006334,4
21,2.1969,0.004927,4
22,2.2258,0.007038,4
23,2.2475,0.007038,4
24,2.2764,0.006334,4
25,2.2980,0.007038,4
26,2.3125,0.007742,4
27,2.3342,0.004927,4
28,2.3486,0.005630,4
29,2.3631,0.005630,4
30,2.3703,0.007038,4
31,2.3848,0.006334,4
32,2.3848,0.006334,4
33,2.3920,0.007038,4
34,2.3920,0.006334,4
35,2.3920,0.006334,4
36,2.3920,0.005630,4
37,2.3920,0.004927,4
38,2.3848,0.007038,4
39,2.3775,0.005630,4
40,2.3631,0.005630,4
41,2.3486,0.007038,4
42,2.3342,0.005630,4
43,2.3197,0.006334,4
44,2.2980,0.006334,4
45,2.2764,0.006334,4
46,2.2547,0.006334,4
47,2.2330,0.006334,4
48,2.2041,0.007038,4
49,2.1752,0.007038,4
50,2.1463,0.007038,4
51,2.1102,0.007038,4
52,2.0740,0.005630,4
53,2.0451,0.005630,4
54,2.0018,0.006334,4
55,1.9656,0.007038,4
56,1.9223,0.006334,4
57,1.8861,0.007038,4
58,1.8428,0.007038,4
59,1.7994,0.006334,4
60,1.7488,0.007038,4
61,1.7055,0.006334,4
62,1.6621,0.006334,4
63,1.6115,0.008446,4
64,1.5609,0.007038,4
65,1.5104,0.006334,4
66,1.4670,0.006334,4
67,1.4164,0.005630,4
68,1.3658,0.005630,4
69,1.3080,0.007038,4
70,1.2574,0.006334,4
71,1.2068,0.004927,4
72,1.1562,0.007742,4
73,1.1057,0.007038,4
74,1.0551,0.004927,4
75,1.0045,0.006334,4
76,0.9539,0.007038,4
77,0.9033,0.007742,4
78,0.8527,0.008446,4
79,0.8021,0.019003,4
80,0.7588,0.026745,4
81,0.7082,0.026745,4
82,0.6648,0.043636,4
83,0.6143,0.045748,4
84,0.5709,0.055601,4
85,0.5275,0.070381,4
86,0.4842,0.073900,4
87,0.4480,0.079531,4
88,0.4047,0.090792,4
89,0.3686,0.100645,4
90,0.3324,0.104164,4
91,0.2963,0.118240,4
92,0.2602,0.114018,4
93,0.2313,0.129501,4
94,0.2023,0.143578,4
95,0.1734,0.144282,4
96,0.1518,0.136540,4
97,0.1229,0.162581,4
98,0.1012,0.166100,4
99,0.0795,0.168211,4
100,0.0650,0.169619,4
101,0.0506,0.179472,4
102,0.0361,0.165396,4
103,0.0217,0.171730,4
104,0.0145,0.179472,4
105,0.0072,0.192141,4
106,0.0000,0.178065,4
107,0.0000,0.194252,4
108,0.0000,0.186510,4
109,0.0000,0.191437,4
110,0.0000,0.185103,4
111,0.0072,0.176657,4
112,0.0145,0.177361,4
113,0.0289,0.177361,4
114,0.0361,0.185806,4
115,0.0506,0.174545,4
116,0.0723,0.177361,4
117,0.0867,0.172434,4
118,0.1084,0.166804,4
119,0.1301,0.152727,4
120,0.1518,0.150616,4
121,0.1807,0.147801,4
122,0.2096,0.142170,4
123,0.2385,0.142170,4
124,0.2746,0.122463,4
125,0.3035,0.120352,4
126,0.3396,0.115425,4
127,0.3758,0.098534,4
128,0.4191,0.100645,4
129,0.4553,0.101349,4
130,0.4986,0.083050,4
131,0.5420,0.080235,4
132,0.5854,0.073900,4
133,0.6287,0.054897,4
134,0.6721,0.048563,4
135,0.7227,0.048563,4
